Trying 1 shapes
Fold: 0, shape: [7, 1]
Starting Epoch 1/1000
Fold: 1, shape: [7, 1]
Starting Epoch 1/1000
Fold: 2, shape: [7, 1]
Starting Epoch 1/1000
Fold: 3, shape: [7, 1]
Starting Epoch 1/1000
Fold: 4, shape: [7, 1]
Starting Epoch 1/1000
Fold: 7, shape: [7, 1]
Starting Epoch 1/1000
Fold: 5, shape: [7, 1]
Fold: 6, shape: [7, 1]
Starting Epoch 1/1000
Starting Epoch 1/1000
Fold: 8, shape: [7, 1]
Starting Epoch 1/1000
Fold: 9, shape: [7, 1]
Starting Epoch 1/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 101/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 201/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 301/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 401/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 501/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 601/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 701/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 801/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
Starting Epoch 901/1000
    actual   predicted
0     15.0    2.677855
1     19.0    4.714833
2     21.0   44.336798
3     24.0   16.875725
4     25.0   25.387256
5     28.0   28.325617
6     30.0   21.298290
7     34.0   28.417667
8     38.0   58.125999
9     43.0   61.366508
10    47.0   68.375796
11    53.0   64.081965
12    65.0   70.446757
13    74.0   70.132585
14    82.0  115.684128
15   107.0  100.551885
16   128.0  138.273554
17   181.0  219.361208
18   253.0  196.543961
19   361.0  375.720419
Starting Epoch 901/1000
    actual   predicted
0     15.0    3.711296
1     19.0    4.352449
